0,full_dataset/catagory_99\D99_120_6.jpg
1,full_dataset/catagory_83\D83_180_15.jpg
2,full_dataset/catagory_15\D15_90_18.jpg
3,full_dataset/catagory_38\D38_0_24.jpg
4,full_dataset/catagory_72\D72_270_12.jpg
5,full_dataset/catagory_100\D100_120_6.jpg
6,full_dataset/catagory_0\D112_0_9.jpg
7,full_dataset/catagory_78\D78_120_10.jpg
8,full_dataset/catagory_66\D66_300_1.jpg
9,full_dataset/catagory_33\D33_270_5.jpg
10,full_dataset/catagory_102\D102_210_4.jpg
11,full_dataset/catagory_40\D40_120_6.jpg
12,full_dataset/catagory_4\D4_210_1.jpg
13,full_dataset/catagory_5\D5_270_17.jpg
14,full_dataset/catagory_78\D78_270_8.jpg
15,full_dataset/catagory_35\D35_90_22.jpg
16,full_dataset/catagory_72\D72_180_7.jpg
17,full_dataset/catagory_35\D35_30_3.jpg
18,full_dataset/catagory_36\D36_240_2.jpg
19,full_dataset/catagory_21\D21_210_10.jpg
20,full_dataset/catagory_41\D41_270_16.jpg
21,full_dataset/catagory_56\D56_120_8.jpg
22,full_dataset/catagory_13\D13_90_25.jpg
23,full_dataset/catagory_84\D84_180_16.jpg
24,full_dataset/catagory_96\D96_300_6.jpg
25,full_dataset/catagory_13\D13_90_15.jpg
26,full_dataset/catagory_111\D111_300_5.jpg
27,full_dataset/catagory_53\D53_0_3.jpg
28,full_dataset/catagory_64\D64_300_11.jpg
29,full_dataset/catagory_86\D86_30_2.jpg
30,full_dataset/catagory_22\D22_60_5.jpg
31,full_dataset/catagory_8\D8_150_9.jpg
32,full_dataset/catagory_76\D76_0_8.jpg
33,full_dataset/catagory_17\D17_30_8.jpg
34,full_dataset/catagory_8\D8_0_18.jpg
35,full_dataset/catagory_30\D30_270_17.jpg
36,full_dataset/catagory_70\D70_30_7.jpg
37,full_dataset/catagory_59\D59_180_21.jpg
38,full_dataset/catagory_69\D69_150_8.jpg
39,full_dataset/catagory_21\D21_0_19.jpg
40,full_dataset/catagory_85\D85_150_7.jpg
41,full_dataset/catagory_9\D9_0_11.jpg
42,full_dataset/catagory_7\D7_0_12.jpg
43,full_dataset/catagory_93\D93_90_7.jpg
44,full_dataset/catagory_37\D37_270_20.jpg
45,full_dataset/catagory_69\D69_180_5.jpg
46,full_dataset/catagory_26\D26_60_6.jpg
47,full_dataset/catagory_2\D2_90_5.jpg
48,full_dataset/catagory_51\D51_150_7.jpg
49,full_dataset/catagory_83\D83_0_13.jpg
50,full_dataset/catagory_101\D101_270_7.jpg
51,full_dataset/catagory_97\D97_150_3.jpg
52,full_dataset/catagory_83\D83_180_9.jpg
53,full_dataset/catagory_83\D83_60_2.jpg
54,full_dataset/catagory_84\D84_0_20.jpg
55,full_dataset/catagory_3\D3_180_1.jpg
56,full_dataset/catagory_51\D51_180_14.jpg
57,full_dataset/catagory_104\D104_270_20.jpg
58,full_dataset/catagory_46\D46_120_9.jpg
59,full_dataset/catagory_81\D81_270_7.jpg
60,full_dataset/catagory_110\D110_240_9.jpg
61,full_dataset/catagory_89\D89_210_9.jpg
62,full_dataset/catagory_86\D86_210_8.jpg
63,full_dataset/catagory_85\D85_210_6.jpg
64,full_dataset/catagory_14\D14_270_12.jpg
65,full_dataset/catagory_65\D65_180_12.jpg
66,full_dataset/catagory_103\D103_210_11.jpg
67,full_dataset/catagory_75\D75_120_9.jpg
68,full_dataset/catagory_61\D61_90_7.jpg
69,full_dataset/catagory_33\D33_240_5.jpg
70,full_dataset/catagory_58\D58_240_11.jpg
71,full_dataset/catagory_60\D60_60_1.jpg
72,full_dataset/catagory_62\D62_120_10.jpg
73,full_dataset/catagory_30\D30_330_5.jpg
74,full_dataset/catagory_20\D20_60_7.jpg
75,full_dataset/catagory_57\D57_90_17.jpg
76,full_dataset/catagory_52\D52_270_22.jpg
77,full_dataset/catagory_45\D45_0_16.jpg
78,full_dataset/catagory_50\D50_30_7.jpg
79,full_dataset/catagory_106\D106_240_2.jpg
80,full_dataset/catagory_76\D76_270_7.jpg
81,full_dataset/catagory_4\D4_150_6.jpg
82,full_dataset/catagory_56\D56_210_2.jpg
83,full_dataset/catagory_19\D19_30_5.jpg
84,full_dataset/catagory_99\D99_90_2.jpg
85,full_dataset/catagory_41\D41_30_7.jpg
86,full_dataset/catagory_20\D20_270_18.jpg
87,full_dataset/catagory_95\D95_270_16.jpg
88,full_dataset/catagory_53\D53_60_8.jpg
89,full_dataset/catagory_26\D26_330_8.jpg
90,full_dataset/catagory_103\D103_180_7.jpg
91,full_dataset/catagory_98\D98_150_8.jpg
92,full_dataset/catagory_97\D97_300_6.jpg
93,full_dataset/catagory_53\D53_60_7.jpg
94,full_dataset/catagory_1\D1_300_9.jpg
95,full_dataset/catagory_1\D1_30_5.jpg
96,full_dataset/catagory_30\D30_270_24.jpg
97,full_dataset/catagory_37\D37_60_7.jpg
98,full_dataset/catagory_95\D95_30_11.jpg
99,full_dataset/catagory_104\D104_180_22.jpg
100,full_dataset/catagory_64\D64_0_14.jpg
101,full_dataset/catagory_30\D30_300_6.jpg
102,full_dataset/catagory_36\D36_180_7.jpg
103,full_dataset/catagory_96\D96_90_12.jpg
104,full_dataset/catagory_39\D39_90_18.jpg
105,full_dataset/catagory_8\D8_270_6.jpg
106,full_dataset/catagory_82\D82_210_6.jpg
107,full_dataset/catagory_88\D88_120_7.jpg
108,full_dataset/catagory_14\D14_300_8.jpg
109,full_dataset/catagory_16\D16_330_9.jpg
110,full_dataset/catagory_88\D88_240_3.jpg
111,full_dataset/catagory_79\D79_180_1.jpg
112,full_dataset/catagory_54\D54_180_22.jpg
113,full_dataset/catagory_90\D90_240_10.jpg
114,full_dataset/catagory_50\D50_270_23.jpg
115,full_dataset/catagory_86\D86_0_13.jpg
116,full_dataset/catagory_46\D46_270_12.jpg
117,full_dataset/catagory_80\D80_120_2.jpg
118,full_dataset/catagory_108\D108_210_8.jpg
119,full_dataset/catagory_44\D44_90_11.jpg
120,full_dataset/catagory_91\D91_150_11.jpg
121,full_dataset/catagory_93\D93_90_21.jpg
122,full_dataset/catagory_22\D22_0_13.jpg
123,full_dataset/catagory_18\D18_330_1.jpg
124,full_dataset/catagory_85\D85_0_8.jpg
125,full_dataset/catagory_93\D93_180_14.jpg
126,full_dataset/catagory_82\D82_270_23.jpg
127,full_dataset/catagory_90\D90_90_9.jpg
128,full_dataset/catagory_66\D66_240_10.jpg
129,full_dataset/catagory_110\D110_0_19.jpg
130,full_dataset/catagory_103\D103_180_21.jpg
131,full_dataset/catagory_106\D106_60_3.jpg
132,full_dataset/catagory_92\D92_330_8.jpg
133,full_dataset/catagory_74\D74_270_11.jpg
134,full_dataset/catagory_2\D2_60_7.jpg
135,full_dataset/catagory_74\D74_270_6.jpg
136,full_dataset/catagory_14\D14_90_2.jpg
137,full_dataset/catagory_98\D98_270_14.jpg
138,full_dataset/catagory_107\D107_210_10.jpg
139,full_dataset/catagory_94\D94_270_14.jpg
140,full_dataset/catagory_62\D62_0_3.jpg
141,full_dataset/catagory_110\D110_90_4.jpg
142,full_dataset/catagory_24\D24_30_2.jpg
143,full_dataset/catagory_52\D52_330_8.jpg
144,full_dataset/catagory_103\D103_90_12.jpg
145,full_dataset/catagory_44\D44_150_1.jpg
146,full_dataset/catagory_9\D9_180_20.jpg
147,full_dataset/catagory_55\D55_90_8.jpg
148,full_dataset/catagory_40\D40_210_10.jpg
149,full_dataset/catagory_32\D32_180_4.jpg
150,full_dataset/catagory_25\D25_30_7.jpg
151,full_dataset/catagory_48\D48_180_12.jpg
152,full_dataset/catagory_51\D51_180_3.jpg
153,full_dataset/catagory_11\D11_30_1.jpg
154,full_dataset/catagory_22\D22_90_22.jpg
155,full_dataset/catagory_19\D19_120_10.jpg
156,full_dataset/catagory_104\D104_180_21.jpg
157,full_dataset/catagory_44\D44_0_1.jpg
158,full_dataset/catagory_8\D8_300_4.jpg
159,full_dataset/catagory_63\D63_240_6.jpg
160,full_dataset/catagory_67\D67_90_13.jpg
