full_dataset/catagory_99\D99_120_6.jpg,99
full_dataset/catagory_83\D83_180_15.jpg,83
full_dataset/catagory_15\D15_90_18.jpg,15
full_dataset/catagory_38\D38_0_24.jpg,38
full_dataset/catagory_72\D72_270_12.jpg,72
full_dataset/catagory_100\D100_120_6.jpg,100
full_dataset/catagory_0\D112_0_9.jpg,0
full_dataset/catagory_78\D78_120_10.jpg,78
full_dataset/catagory_66\D66_300_1.jpg,66
full_dataset/catagory_33\D33_270_5.jpg,33
full_dataset/catagory_102\D102_210_4.jpg,102
full_dataset/catagory_40\D40_120_6.jpg,40
full_dataset/catagory_4\D4_210_1.jpg,4
full_dataset/catagory_5\D5_270_17.jpg,5
full_dataset/catagory_78\D78_270_8.jpg,78
full_dataset/catagory_35\D35_90_22.jpg,35
full_dataset/catagory_72\D72_180_7.jpg,72
full_dataset/catagory_35\D35_30_3.jpg,35
full_dataset/catagory_36\D36_240_2.jpg,36
full_dataset/catagory_21\D21_210_10.jpg,21
full_dataset/catagory_41\D41_270_16.jpg,41
full_dataset/catagory_56\D56_120_8.jpg,56
full_dataset/catagory_13\D13_90_25.jpg,13
full_dataset/catagory_84\D84_180_16.jpg,84
full_dataset/catagory_96\D96_300_6.jpg,96
full_dataset/catagory_13\D13_90_15.jpg,13
full_dataset/catagory_111\D111_300_5.jpg,111
full_dataset/catagory_53\D53_0_3.jpg,53
full_dataset/catagory_64\D64_300_11.jpg,64
full_dataset/catagory_86\D86_30_2.jpg,86
full_dataset/catagory_22\D22_60_5.jpg,22
full_dataset/catagory_8\D8_150_9.jpg,8
full_dataset/catagory_76\D76_0_8.jpg,76
full_dataset/catagory_17\D17_30_8.jpg,17
full_dataset/catagory_8\D8_0_18.jpg,8
full_dataset/catagory_30\D30_270_17.jpg,30
full_dataset/catagory_70\D70_30_7.jpg,70
full_dataset/catagory_59\D59_180_21.jpg,59
full_dataset/catagory_69\D69_150_8.jpg,69
full_dataset/catagory_21\D21_0_19.jpg,21
full_dataset/catagory_85\D85_150_7.jpg,85
full_dataset/catagory_9\D9_0_11.jpg,9
full_dataset/catagory_7\D7_0_12.jpg,7
full_dataset/catagory_93\D93_90_7.jpg,93
full_dataset/catagory_37\D37_270_20.jpg,37
full_dataset/catagory_69\D69_180_5.jpg,69
full_dataset/catagory_26\D26_60_6.jpg,26
full_dataset/catagory_2\D2_90_5.jpg,2
full_dataset/catagory_51\D51_150_7.jpg,51
full_dataset/catagory_83\D83_0_13.jpg,83
full_dataset/catagory_101\D101_270_7.jpg,101
full_dataset/catagory_97\D97_150_3.jpg,97
full_dataset/catagory_83\D83_180_9.jpg,83
full_dataset/catagory_83\D83_60_2.jpg,83
full_dataset/catagory_84\D84_0_20.jpg,84
full_dataset/catagory_3\D3_180_1.jpg,3
full_dataset/catagory_51\D51_180_14.jpg,51
full_dataset/catagory_104\D104_270_20.jpg,104
full_dataset/catagory_46\D46_120_9.jpg,46
full_dataset/catagory_81\D81_270_7.jpg,81
full_dataset/catagory_110\D110_240_9.jpg,110
full_dataset/catagory_89\D89_210_9.jpg,89
full_dataset/catagory_86\D86_210_8.jpg,86
full_dataset/catagory_85\D85_210_6.jpg,85
full_dataset/catagory_14\D14_270_12.jpg,14
full_dataset/catagory_65\D65_180_12.jpg,65
full_dataset/catagory_103\D103_210_11.jpg,103
full_dataset/catagory_75\D75_120_9.jpg,75
full_dataset/catagory_61\D61_90_7.jpg,61
full_dataset/catagory_33\D33_240_5.jpg,33
full_dataset/catagory_58\D58_240_11.jpg,58
full_dataset/catagory_60\D60_60_1.jpg,60
full_dataset/catagory_62\D62_120_10.jpg,62
full_dataset/catagory_30\D30_330_5.jpg,30
full_dataset/catagory_20\D20_60_7.jpg,20
full_dataset/catagory_57\D57_90_17.jpg,57
full_dataset/catagory_52\D52_270_22.jpg,52
full_dataset/catagory_45\D45_0_16.jpg,45
